ticker,horizon,model,accuracy,f1,cohen_kappa,pt_p_value,rmse_rv,mae_rv,sharpe_ratio,sortino_ratio,colapsado
QQQ,20,random_walk,0.5770065075921909,0.7317744154057771,0.0,,0.03030931110797994,0.022924353753456302,0.3272587718155639,0.4702629583049361,True
QQQ,60,arima_garch,0.6377952755905512,0.7788461538461539,0.0,,0.040621499204516825,0.035344523094017644,0.6521747626760417,1.0905314390651786,True
QQQ,60,naive_persistente,0.5170603674540682,0.5720930232558139,0.03898667544003953,0.21277341985277798,0.026740340094913728,0.02158988442037172,0.039822352561964154,0.057096203325551514,False
QQQ,60,random_walk,0.6377952755905512,0.7788461538461539,0.0,,0.0418669187750244,0.03256225335147081,0.6521747626760417,1.0905314390651786,True
SPY,5,arima_garch,0.49287169042769857,0.5202312138728323,-0.014925992644922337,0.6303602421946668,0.01002427169373317,0.007421026079285372,-0.4999637170558211,-0.659579082050633,False
SPY,5,naive_persistente,0.48268839103869654,0.5077519379844961,-0.03394130326645661,0.775712964392371,0.011168598285325864,0.008220639688102905,-0.40488242911552974,-0.5354653295335142,False
SPY,5,random_walk,0.5539714867617108,0.7129750982961992,0.0,,0.013254234320546865,0.00969806282652248,0.13181656076184403,0.17827167615301368,True
SPY,20,arima_garch,0.49891540130151846,0.5074626865671642,0.00617808180825552,0.44625630800864347,0.016224690059424864,0.01242269196269643,0.2641161756987831,0.39981273539219314,False
SPY,20,naive_persistente,0.4924078091106291,0.5165289256198347,-0.013967740722637956,0.6188494426416129,0.014247591507453547,0.010374116499186063,-0.15401134354762458,-0.20735533504382764,False
SPY,20,random_walk,0.5553145336225597,0.7140864714086471,0.0,,0.0227867774949822,0.01758968916416925,0.25662872983656154,0.3634434820696452,True
SPY,60,arima_garch,0.5459317585301837,0.5967365967365967,0.11584327086882462,0.006665077215061599,0.029834881867278274,0.025940080211294254,0.2047379860813204,0.3094797164275664,False
SPY,60,naive_persistente,0.48031496062992124,0.547945205479452,-0.02768166089965396,0.7192851208703024,0.023512531976923753,0.02018120905970611,-0.12475077839166376,-0.16859699213185148,False
SPY,60,random_walk,0.6666666666666666,0.8,0.0,,0.03286408203976554,0.02651110052144935,0.5165556911279133,0.7865282244431578,True
