ticker,horizon,variant,baseline,dm_statistic,dm_p_value,mean_loss_diff
QQQ,5,late_fusion,arima_garch,4.3516259004585445,1.6455237439982895e-05,0.0003242733213319903
QQQ,5,cross_attention,random_walk,6.506355887164859,1.9048962407453018e-10,0.00020778078370912946
QQQ,5,cross_attention,naive_persistente,3.8869381377678693,0.00011549141700917254,0.0003133602421032287
QQQ,5,cross_attention,arima_garch,4.595227350108063,5.505728119636899e-06,0.0003606773325731622
QQQ,20,price_only,random_walk,-0.9945516516513129,0.3204772384226817,-0.0003238258026262677
QQQ,20,price_only,naive_persistente,2.402599971898815,0.016674233623407364,0.00031901385072283705
QQQ,20,price_only,arima_garch,1.306938190290711,0.19188666382641406,0.00018998179510313235
QQQ,20,text_only,random_walk,5.424094755260294,9.430941871890752e-08,0.0018230829687775779
QQQ,20,text_only,naive_persistente,4.0946672960468815,4.994655202783527e-05,0.0024659226221266832
QQQ,20,text_only,arima_garch,3.7956299331678713,0.0001669737747436173,0.002336890566506978
QQQ,20,early_fusion,random_walk,2.749175490665564,0.006209719879376019,0.000444093294915838
QQQ,20,early_fusion,naive_persistente,2.6237098481433025,0.008986842970459819,0.0010869329482649426
QQQ,20,early_fusion,arima_garch,2.2378966960956834,0.025705672220128317,0.0009579008926452381
QQQ,20,late_fusion,random_walk,3.460033003910185,0.0005904394404390167,0.0010903210941733508
QQQ,20,late_fusion,naive_persistente,2.9502246631811335,0.0033374403923869256,0.0017331607475224557
QQQ,20,late_fusion,arima_garch,2.669917696475376,0.007855536242192596,0.001604128691902751
QQQ,20,cross_attention,random_walk,5.290728202961058,1.8886974317844363e-07,0.0009869512533651115
QQQ,20,cross_attention,naive_persistente,3.668537665760692,0.00027248128789714166,0.0016297909067142162
QQQ,20,cross_attention,arima_garch,3.249304262184627,0.001241649142514012,0.0015007588510945115
QQQ,60,price_only,random_walk,-1.1527697298684767,0.24972954371932143,-0.00012585672876826672
QQQ,60,price_only,naive_persistente,1.0337720247467732,0.3019002010938907,0.0009119363705545738
QQQ,60,price_only,arima_garch,-0.02569112265818146,0.9795171904964994,-2.3124038676336616e-05
QQQ,60,text_only,random_walk,4.903951782731045,1.3947345094411645e-06,0.0021231592034466535
QQQ,60,text_only,naive_persistente,2.477368675931067,0.013669555603237571,0.003160952302769494
QQQ,60,text_only,arima_garch,1.7159428820719422,0.08698754228552219,0.002225891893538583
QQQ,60,early_fusion,random_walk,1.532438162369854,0.12624642466834324,0.0006168688977479487
QQQ,60,early_fusion,naive_persistente,1.2154348437043003,0.22495487060655162,0.0016546619970707896
QQQ,60,early_fusion,arima_garch,0.516442850706772,0.6058455448584725,0.0007196015878398788
QQQ,60,late_fusion,random_walk,2.568172813908916,0.010604958286007271,0.00903905205453078
QQQ,60,late_fusion,naive_persistente,2.285684007530644,0.022822707323302716,0.01007684515385362
QQQ,60,late_fusion,arima_garch,2.0423873430912485,0.04180288637121832,0.009141784744622709
QQQ,60,cross_attention,random_walk,2.0372814205779437,0.042314265435434706,0.004188776898549034
QQQ,60,cross_attention,naive_persistente,1.7688569288724434,0.07771989103819732,0.005226569997871875
QQQ,60,cross_attention,arima_garch,1.4233747542430182,0.155448045972866,0.004291509588640964
SPY,5,price_only,random_walk,4.284612009495254,2.2043661792814362e-05,0.00029245933657830853
SPY,5,price_only,naive_persistente,6.4788951526214165,2.2531088106347852e-10,0.0003433964763432871
SPY,5,price_only,arima_garch,7.65590588597436,1.0302869668521453e-13,0.00036764804101249086
SPY,5,text_only,random_walk,11.411543647314252,0.0,0.0005546027769243398
SPY,5,text_only,naive_persistente,8.396866328124888,4.440892098500626e-16,0.0006055399166893184
SPY,5,text_only,arima_garch,8.583101831605157,2.220446049250313e-16,0.0006297914813585223
SPY,5,early_fusion,random_walk,6.512191570570869,1.8379986421734884e-10,9.637805650272357e-05
SPY,5,early_fusion,naive_persistente,3.427685532810903,0.0006600271751424636,0.00014731519626770214
SPY,5,early_fusion,arima_garch,4.009098691330936,7.04470517236544e-05,0.00017156676093690594
SPY,5,late_fusion,random_walk,7.974091618792866,1.0880185641326534e-14,0.00021552769306975526
SPY,5,late_fusion,naive_persistente,5.027495955431994,6.980986595461758e-07,0.00026646483283473385
SPY,5,late_fusion,arima_garch,5.425658955969227,9.091519759252265e-08,0.0002907163975039376
SPY,5,cross_attention,random_walk,9.287776446855307,0.0,0.0002830454165222688
SPY,5,cross_attention,naive_persistente,6.047331909385204,2.9235838194807684e-09,0.0003339825562872474
SPY,5,cross_attention,arima_garch,6.382633885294248,4.040308088093525e-10,0.00035823412095645115
SPY,20,price_only,random_walk,-1.7686600517147306,0.07761328948330193,-9.533684729606715e-05
SPY,20,price_only,naive_persistente,1.9747743215192628,0.04889132981930033,0.00022090651754649767
SPY,20,price_only,arima_garch,1.3927320600251294,0.16437359359503367,0.00016065981378536018
SPY,20,text_only,random_walk,5.304023487810401,1.76348895264411e-07,0.0020169903310531577
SPY,20,text_only,naive_persistente,4.525494006838057,7.681311409379887e-06,0.0023332336958957222
SPY,20,text_only,arima_garch,4.353457338323438,1.6529263330733457e-05,0.002272986992134585
SPY,20,early_fusion,random_walk,2.8944208171600376,0.003979180027264384,0.00024126371196998454
SPY,20,early_fusion,naive_persistente,2.435820402294502,0.015236744064861751,0.0005575070768125493
SPY,20,early_fusion,arima_garch,2.1241019943804162,0.034194491846696984,0.0004972603730514118
SPY,20,late_fusion,random_walk,4.592676934827495,5.656464429293351e-06,0.0014160266186955845
SPY,20,late_fusion,naive_persistente,3.89084062085849,0.00011464843350372789,0.001732269983538149
SPY,20,late_fusion,arima_garch,3.7060616285476033,0.00023613918580545068,0.0016720232797770118
SPY,20,cross_attention,random_walk,8.531132388498623,2.220446049250313e-16,0.0004722668738055928
SPY,20,cross_attention,naive_persistente,4.385771598412637,1.4340418021285828e-05,0.0007885102386481575
SPY,20,cross_attention,arima_garch,4.0334867326466215,6.433356403334756e-05,0.0007282635348870201
SPY,60,price_only,random_walk,0.9792005401254397,0.32810388413766045,0.00014386681328269326
SPY,60,price_only,naive_persistente,0.9530640339891614,0.3411634624443116,0.0006710755416332716
SPY,60,price_only,arima_garch,0.4967260551259961,0.6196694784571366,0.0003337945255646837
SPY,60,text_only,random_walk,2.850432504901567,0.004604010086717958,0.006699994722784839
SPY,60,text_only,naive_persistente,2.541251633552575,0.011442354224145745,0.007227203451135418
SPY,60,text_only,arima_garch,2.407802982092544,0.01652456521627066,0.0068899224350668295
SPY,60,early_fusion,random_walk,1.7192427610465666,0.08638451662296598,0.0012021102658978545
SPY,60,early_fusion,naive_persistente,1.4999187084494965,0.13446580632366412,0.0017293189942484326
SPY,60,early_fusion,arima_garch,1.1859513040016318,0.2363825419553658,0.001392037978179845
SPY,60,late_fusion,random_walk,2.4532797104276907,0.014604400734647527,0.005150715844501804
SPY,60,late_fusion,naive_persistente,2.1892781764859355,0.029184320731027835,0.005677924572852382
SPY,60,late_fusion,arima_garch,2.04576044038452,0.04146794549873789,0.0053406435567837935
SPY,60,cross_attention,random_walk,1.9877597962937883,0.04755553554579417,0.0031877446962427784
SPY,60,cross_attention,naive_persistente,1.7888306387498423,0.07443850642976191,0.003714953424593357
SPY,60,cross_attention,arima_garch,1.6092896915105388,0.10838341258322348,0.0033776724085247687
