ticker,horizon,variant,n,accuracy,f1,cohen_kappa,rmse_rv,mae_rv,roc_auc,sharpe_ratio,sortino_ratio,pt_p_value,umbral_calibrado,accuracy_calibrado,f1_calibrado,cohen_kappa_calibrado,sharpe_ratio_calibrado,sortino_ratio_calibrado,pt_p_value_calibrado,colapsado_05,colapsado_cal
GS,60,cross_attention,381,0.5748031496062992,0.7263513513513513,0.017196904557179593,0.035687316209077835,0.02931639365851879,0.5445093851860178,0.4244342125559638,0.7149841232524773,0.1191071655117093,0.639264956737558,0.5354330708661418,0.4652567975830816,0.12002348796241935,0.18842934825620103,0.28133104810867127,0.003156217703879416,False,False
GS,60,early_fusion,381,0.5695538057742782,0.725752508361204,0.0,0.021159635856747627,0.017830420285463333,0.4846577498033045,0.40074279574596533,0.6722450715616574,,0.5244924972454706,0.5643044619422573,0.7205387205387206,-0.00877248947301279,0.39320825324081465,0.6597485324572042,0.7684315696517703,True,False
GS,60,late_fusion,381,0.5695538057742782,0.7191780821917808,0.011735678360168311,0.023553360253572464,0.018913498148322105,0.5322299651567944,0.41366046584347027,0.6947115842389769,0.2958967556477017,0.6712332920481762,0.5538057742782152,0.41379310344827586,0.17812912394680736,0.16551001706359936,0.24009143286367624,6.180688795209832e-07,False,False
GS,60,price_only,381,0.5695538057742782,0.725752508361204,0.0,0.025791028514504433,0.02178017608821392,0.5122513206698888,0.40074279574596533,0.6722450715616574,,0.5254505462944508,0.49606299212598426,0.5294117647058824,-0.00824213689114317,0.023981566396936185,0.033540877319174135,0.5645889890293869,True,False
GS,60,text_only,381,0.5590551181102362,0.7152542372881356,-0.017485852355821452,0.03837312385439873,0.026833677664399147,0.4927503652916714,0.35237356594626806,0.579964022732846,0.8515594211560908,0.6171507189671198,0.5144356955380578,0.4668587896253602,0.06995922783590858,0.07580668199396613,0.10760504104539016,0.06419437072863643,False,False
KO,5,cross_attention,491,0.5071283095723014,0.47844827586206895,0.017171499942099988,0.020636219531297684,0.014004366472363472,0.5349933598937583,-0.1559030284670669,-0.21689927344461432,0.34993293054784913,0.4889626211603643,0.5417515274949084,0.614065180102916,0.0762110227529289,0.38652967765514284,0.5521494259821708,0.036528690361017135,False,False
KO,5,early_fusion,491,0.5112016293279023,0.6765498652291105,0.0,0.014165129512548447,0.012120695784687996,0.5306606905710491,0.07904945828546336,0.10937408274508512,,0.5294212698936462,0.5010183299389002,0.6201550387596899,-0.011672988133583528,0.016218157838967545,0.02234306843835933,0.6258280065240042,True,False
KO,5,late_fusion,491,0.5112016293279023,0.6765498652291105,0.0,0.0254213884472847,0.01779230311512947,0.5288346613545817,0.07904945828546336,0.10937408274508512,,0.5214695173960465,0.48676171079429736,0.5531914893617021,-0.03283861166296598,0.23471337714436494,0.3360571447939235,0.7743105648301081,True,False
KO,5,price_only,491,0.5112016293279023,0.6765498652291105,0.0,0.011127997189760208,0.008050486445426941,0.4749667994687915,0.07904945828546336,0.10937408274508512,,0.5403954246748797,0.4623217922606925,0.5111111111111111,-0.07964218487114993,-0.28110754010469824,-0.3990201756440931,0.9631344409677137,True,False
KO,5,text_only,491,0.5458248472505092,0.477751756440281,0.09737438687605626,0.022544369101524353,0.018804674968123436,0.5721281540504648,0.3731351798070918,0.5321137617930579,0.011699692223969271,0.5835937749036411,0.505091649694501,0.17627118644067796,0.028055426574451925,0.14887607015846838,0.2160618695045475,0.13357053229046034,False,False
